dataset,attr_method,metric,model,itr_no,area,comp,suff
electricity,feature_ablation,mae,DLinear,1,0.05,10.034,13.58
electricity,feature_ablation,mae,DLinear,1,0.075,10.717,12.85
electricity,feature_ablation,mae,DLinear,1,0.1,11.028,12.405
electricity,feature_ablation,mae,DLinear,1,0.15,11.663,11.397
electricity,feature_ablation,mae,DLinear,2,0.05,9.626,13.185
electricity,feature_ablation,mae,DLinear,2,0.075,10.296,12.476
electricity,feature_ablation,mae,DLinear,2,0.1,10.595,12.064
electricity,feature_ablation,mae,DLinear,2,0.15,11.219,11.118
electricity,feature_ablation,mae,DLinear,3,0.05,10.029,13.429
electricity,feature_ablation,mae,DLinear,3,0.075,10.716,12.682
electricity,feature_ablation,mae,DLinear,3,0.1,11.022,12.25
electricity,feature_ablation,mae,DLinear,3,0.15,11.642,11.264
electricity,feature_ablation,mae,MICN,1,0.05,10.631,12.628
electricity,feature_ablation,mae,MICN,1,0.075,11.739,11.518
electricity,feature_ablation,mae,MICN,1,0.1,12.298,10.834
electricity,feature_ablation,mae,MICN,1,0.15,13.245,9.449
electricity,feature_ablation,mae,MICN,2,0.05,10.648,12.412
electricity,feature_ablation,mae,MICN,2,0.075,11.723,11.328
electricity,feature_ablation,mae,MICN,2,0.1,12.221,10.69
electricity,feature_ablation,mae,MICN,2,0.15,13.137,9.335
electricity,feature_ablation,mae,MICN,3,0.05,10.623,12.69
electricity,feature_ablation,mae,MICN,3,0.075,11.728,11.516
electricity,feature_ablation,mae,MICN,3,0.1,12.279,10.777
electricity,feature_ablation,mae,MICN,3,0.15,13.247,9.443
electricity,feature_ablation,mae,SegRNN,1,0.05,9.563,14.623
electricity,feature_ablation,mae,SegRNN,1,0.075,10.751,13.89
electricity,feature_ablation,mae,SegRNN,1,0.1,11.328,13.464
electricity,feature_ablation,mae,SegRNN,1,0.15,12.325,12.525
electricity,feature_ablation,mae,SegRNN,2,0.05,9.753,14.147
electricity,feature_ablation,mae,SegRNN,2,0.075,10.802,13.358
electricity,feature_ablation,mae,SegRNN,2,0.1,11.358,12.889
electricity,feature_ablation,mae,SegRNN,2,0.15,12.346,11.88
electricity,feature_ablation,mae,SegRNN,3,0.05,9.384,14.43
electricity,feature_ablation,mae,SegRNN,3,0.075,10.58,13.72
electricity,feature_ablation,mae,SegRNN,3,0.1,11.176,13.304
electricity,feature_ablation,mae,SegRNN,3,0.15,12.222,12.351
electricity,feature_ablation,mae,iTransformer,1,0.05,8.814,17.476
electricity,feature_ablation,mae,iTransformer,1,0.075,10.429,16.607
electricity,feature_ablation,mae,iTransformer,1,0.1,11.305,16.034
electricity,feature_ablation,mae,iTransformer,1,0.15,12.752,14.815
electricity,feature_ablation,mae,iTransformer,2,0.05,8.549,17.381
electricity,feature_ablation,mae,iTransformer,2,0.075,10.172,16.538
electricity,feature_ablation,mae,iTransformer,2,0.1,11.081,15.962
electricity,feature_ablation,mae,iTransformer,2,0.15,12.512,14.77
electricity,feature_ablation,mae,iTransformer,3,0.05,8.636,17.794
electricity,feature_ablation,mae,iTransformer,3,0.075,10.229,16.846
electricity,feature_ablation,mae,iTransformer,3,0.1,11.11,16.265
electricity,feature_ablation,mae,iTransformer,3,0.15,12.523,15.015
electricity,augmented_occlusion,mae,DLinear,1,0.05,8.991,14.086
electricity,augmented_occlusion,mae,DLinear,1,0.075,9.902,13.296
electricity,augmented_occlusion,mae,DLinear,1,0.1,10.307,12.854
electricity,augmented_occlusion,mae,DLinear,1,0.15,11.034,11.92
electricity,augmented_occlusion,mae,DLinear,2,0.05,8.634,14.112
electricity,augmented_occlusion,mae,DLinear,2,0.075,9.584,13.315
electricity,augmented_occlusion,mae,DLinear,2,0.1,10.001,12.882
electricity,augmented_occlusion,mae,DLinear,2,0.15,10.727,11.939
electricity,augmented_occlusion,mae,DLinear,3,0.05,9.057,13.938
electricity,augmented_occlusion,mae,DLinear,3,0.075,10.006,13.132
electricity,augmented_occlusion,mae,DLinear,3,0.1,10.415,12.691
electricity,augmented_occlusion,mae,DLinear,3,0.15,11.187,11.715
electricity,augmented_occlusion,mae,MICN,1,0.05,9.846,13.365
electricity,augmented_occlusion,mae,MICN,1,0.075,10.805,12.548
electricity,augmented_occlusion,mae,MICN,1,0.1,11.286,12.033
electricity,augmented_occlusion,mae,MICN,1,0.15,12.181,10.936
electricity,augmented_occlusion,mae,MICN,2,0.05,9.961,13.39
electricity,augmented_occlusion,mae,MICN,2,0.075,11.026,12.547
electricity,augmented_occlusion,mae,MICN,2,0.1,11.521,12.032
electricity,augmented_occlusion,mae,MICN,2,0.15,12.377,10.943
electricity,augmented_occlusion,mae,MICN,3,0.05,9.837,13.038
electricity,augmented_occlusion,mae,MICN,3,0.075,10.841,12.218
electricity,augmented_occlusion,mae,MICN,3,0.1,11.326,11.708
electricity,augmented_occlusion,mae,MICN,3,0.15,12.174,10.641
electricity,augmented_occlusion,mae,SegRNN,1,0.05,8.588,15.195
electricity,augmented_occlusion,mae,SegRNN,1,0.075,9.779,14.521
electricity,augmented_occlusion,mae,SegRNN,1,0.1,10.369,14.123
electricity,augmented_occlusion,mae,SegRNN,1,0.15,11.454,13.243
electricity,augmented_occlusion,mae,SegRNN,2,0.05,9.105,14.683
electricity,augmented_occlusion,mae,SegRNN,2,0.075,10.243,14.009
electricity,augmented_occlusion,mae,SegRNN,2,0.1,10.768,13.609
electricity,augmented_occlusion,mae,SegRNN,2,0.15,11.727,12.725
electricity,augmented_occlusion,mae,SegRNN,3,0.05,8.571,14.74
electricity,augmented_occlusion,mae,SegRNN,3,0.075,9.776,14.081
electricity,augmented_occlusion,mae,SegRNN,3,0.1,10.354,13.698
electricity,augmented_occlusion,mae,SegRNN,3,0.15,11.428,12.863
electricity,augmented_occlusion,mae,iTransformer,1,0.05,7.325,18.559
electricity,augmented_occlusion,mae,iTransformer,1,0.075,8.787,17.739
electricity,augmented_occlusion,mae,iTransformer,1,0.1,9.623,17.199
electricity,augmented_occlusion,mae,iTransformer,1,0.15,11.021,16.042
electricity,augmented_occlusion,mae,iTransformer,2,0.05,7.27,18.458
electricity,augmented_occlusion,mae,iTransformer,2,0.075,8.667,17.637
electricity,augmented_occlusion,mae,iTransformer,2,0.1,9.472,17.124
electricity,augmented_occlusion,mae,iTransformer,2,0.15,10.876,15.988
electricity,augmented_occlusion,mae,iTransformer,3,0.05,7.278,18.462
electricity,augmented_occlusion,mae,iTransformer,3,0.075,8.712,17.665
electricity,augmented_occlusion,mae,iTransformer,3,0.1,9.551,17.14
electricity,augmented_occlusion,mae,iTransformer,3,0.15,11.013,16.0
electricity,feature_permutation,mae,DLinear,1,0.05,6.004,16.664
electricity,feature_permutation,mae,DLinear,1,0.075,7.017,16.361
electricity,feature_permutation,mae,DLinear,1,0.1,7.497,16.183
electricity,feature_permutation,mae,DLinear,1,0.15,8.41,15.756
electricity,feature_permutation,mae,DLinear,2,0.05,5.642,16.219
electricity,feature_permutation,mae,DLinear,2,0.075,6.596,15.906
electricity,feature_permutation,mae,DLinear,2,0.1,7.083,15.726
electricity,feature_permutation,mae,DLinear,2,0.15,8.014,15.303
electricity,feature_permutation,mae,DLinear,3,0.05,5.741,16.49
electricity,feature_permutation,mae,DLinear,3,0.075,6.68,16.188
electricity,feature_permutation,mae,DLinear,3,0.1,7.144,16.015
electricity,feature_permutation,mae,DLinear,3,0.15,8.057,15.591
electricity,feature_permutation,mae,MICN,1,0.05,8.167,14.651
electricity,feature_permutation,mae,MICN,1,0.075,9.235,14.297
electricity,feature_permutation,mae,MICN,1,0.1,9.754,14.1
electricity,feature_permutation,mae,MICN,1,0.15,10.674,13.725
electricity,feature_permutation,mae,MICN,2,0.05,8.159,14.403
electricity,feature_permutation,mae,MICN,2,0.075,9.285,13.998
electricity,feature_permutation,mae,MICN,2,0.1,9.805,13.789
electricity,feature_permutation,mae,MICN,2,0.15,10.706,13.405
electricity,feature_permutation,mae,MICN,3,0.05,7.892,14.701
electricity,feature_permutation,mae,MICN,3,0.075,9.012,14.3
electricity,feature_permutation,mae,MICN,3,0.1,9.554,14.11
electricity,feature_permutation,mae,MICN,3,0.15,10.497,13.762
electricity,feature_permutation,mae,SegRNN,1,0.05,6.122,16.713
electricity,feature_permutation,mae,SegRNN,1,0.075,7.532,16.244
electricity,feature_permutation,mae,SegRNN,1,0.1,8.232,15.965
electricity,feature_permutation,mae,SegRNN,1,0.15,9.454,15.377
electricity,feature_permutation,mae,SegRNN,2,0.05,6.231,16.015
electricity,feature_permutation,mae,SegRNN,2,0.075,7.616,15.569
electricity,feature_permutation,mae,SegRNN,2,0.1,8.302,15.314
electricity,feature_permutation,mae,SegRNN,2,0.15,9.558,14.753
electricity,feature_permutation,mae,SegRNN,3,0.05,6.156,15.994
electricity,feature_permutation,mae,SegRNN,3,0.075,7.541,15.524
electricity,feature_permutation,mae,SegRNN,3,0.1,8.227,15.239
electricity,feature_permutation,mae,SegRNN,3,0.15,9.497,14.63
electricity,feature_permutation,mae,iTransformer,1,0.05,5.374,20.078
electricity,feature_permutation,mae,iTransformer,1,0.075,6.672,19.538
electricity,feature_permutation,mae,iTransformer,1,0.1,7.44,19.217
electricity,feature_permutation,mae,iTransformer,1,0.15,8.852,18.52
electricity,feature_permutation,mae,iTransformer,2,0.05,5.3,19.897
electricity,feature_permutation,mae,iTransformer,2,0.075,6.561,19.452
electricity,feature_permutation,mae,iTransformer,2,0.1,7.295,19.192
electricity,feature_permutation,mae,iTransformer,2,0.15,8.605,18.583
electricity,feature_permutation,mae,iTransformer,3,0.05,5.328,20.123
electricity,feature_permutation,mae,iTransformer,3,0.075,6.652,19.621
